ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",753677,0,0.7319,0.2681,0,589021,0.3698,0.6302,0.0788,0.5202,0.0262,0.0139,0.0009,
"2",753677,0,0.7116,0.2884,0,580993,0.3627,0.6373,0.1336,0.4836,0.0134,0.0184,0.0011,
"3",753677,0,0.7233,0.2767,0,588880,0.4277,0.5723,0.4379,0.0603,0.073,0.0345,0.0017,
"4",753677,0,0.7518,0.2482,0,563323,0.2621,0.7379,0.6323,0.0582,0.0468,0.0484,0.0012,
"5",753677,0,0.7039,0.2961,0,618186,0.733,0.267,0.1066,0.0334,0.1176,0.012,0.0012,
"6",753677,0,0.5502,0.4498,0,593478,0.7462,0.2538,0.118,0.0587,0.0654,0.0134,0.0009,
"7",753677,0,0.8837,0.1163,0,607675,0.3271,0.6729,0.1385,0.4298,0.1022,0.0147,0.0012,
"8",753677,0,0.5809,0.4191,0,586513,0.5843,0.4157,0.2072,0.0476,0.1515,0.021,0.0013,
"9",753677,0,0.7174,0.2826,0,607511,0.6158,0.3842,0.1166,0.097,0.1603,0.0153,0.0014,
"10",753677,0,0.6276,0.3724,0,575610,0.6159,0.3841,0.2121,0.0713,0.0871,0.0221,0.0017,
"11",753677,0,0.5686,0.4314,0,574787,0.6657,0.3343,0.1644,0.066,0.0895,0.018,0.0011,
"12",753677,0,0.2785,0.7215,0,589350,0.8805,0.1195,0.0237,0.0556,0.0141,0.0204,0.0012,
"13",753677,0,0.5513,0.4487,0,595719,0.6779,0.3221,0.0429,0.203,0.0538,0.0205,0.0013,
"14",753677,0,0.5528,0.4472,0,564317,0.6267,0.3733,0.2007,0.1018,0.0567,0.0219,0.001,
"15",753677,0,0.2988,0.7012,0,592293,0.9085,0.0915,0.0242,0.0338,0.0103,0.0178,0.001,
"16",753677,0,0.3812,0.6188,0,582046,0.8725,0.1275,0.0528,0.0266,0.0252,0.0179,0.0009,
"17",753676,0,0.538,0.462,0,589767,0.7196,0.2804,0.094,0.1417,0.0256,0.0202,0.0013,
"Summary",753677,0,0.5883,0.4117,0,588204,0.6124,0.3876,0.162,0.1468,0.0662,0.0205,0.0012,
