ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",766987,0,0.2615,0.7385,0,585265,0.6355,0.3645,0.1413,0.183,0.0146,0.0283,0.0013,
"2",766987,0,0.3623,0.6377,0,557917,0.5313,0.4687,0.2712,0.1227,0.0547,0.0285,0.0029,
"3",766987,0,0.3997,0.6003,0,559329,0.5936,0.4064,0.1431,0.1019,0.1367,0.0273,0.0021,
"4",766987,0,0.3474,0.6526,0,577526,0.6296,0.3704,0.1243,0.097,0.1183,0.0319,0.0018,
"5",766987,0,0.3705,0.6295,0,573597,0.5237,0.4763,0.2585,0.1419,0.0532,0.0325,0.0015,
"6",766987,0,0.3609,0.6391,0,572594,0.4879,0.5121,0.3022,0.146,0.0427,0.0316,0.0026,
"7",766987,0,0.6539,0.3461,0,594919,0.302,0.698,0.2833,0.1963,0.2139,0.0198,0.0018,
"8",766987,0,0.3507,0.6493,0,565897,0.4878,0.5122,0.2968,0.1315,0.066,0.0306,0.0018,
"9",766987,0,0.7815,0.2185,0,565956,0.139,0.861,0.3642,0.3861,0.1124,0.0222,0.0016,
"10",766987,0,0.3861,0.6139,0,591007,0.5949,0.4051,0.2199,0.1042,0.0615,0.0244,0.0017,
"11",766987,0,0.2885,0.7115,0,567819,0.4772,0.5228,0.3524,0.1235,0.029,0.0287,0.0066,
"12",766987,0,0.3897,0.6103,0,580455,0.5886,0.4114,0.2167,0.1197,0.0512,0.0301,0.0026,
"13",766987,0,0.2517,0.7483,0,585231,0.6204,0.3796,0.2463,0.0752,0.0301,0.0348,0.0018,
"14",766987,0,0.354,0.646,0,585292,0.5601,0.4399,0.2238,0.1617,0.0349,0.0251,0.0013,
"15",766987,0,0.5216,0.4784,0,551585,0.1755,0.8245,0.7886,0.0157,0.0146,0.0178,0.0007,
"16",766986,0,0.6984,0.3016,0,573880,0.1298,0.8702,0.808,0.0409,0.0211,0.0243,0.003,
"17",766987,0,0.3704,0.6296,0,589524,0.5665,0.4335,0.2228,0.16,0.0315,0.0262,0.0019,
"18",766987,0,0.7559,0.2441,0,576291,0.1942,0.8058,0.3981,0.3437,0.0618,0.0262,0.0026,
"19",766987,0,0.2566,0.7434,0,578679,0.5369,0.4631,0.3474,0.0737,0.0241,0.0268,0.0017,
"20",766987,0,0.6688,0.3312,0,574548,0.1975,0.8025,0.6824,0.0719,0.047,0.0299,0.0033,
"21",766987,0,0.3798,0.6202,0,604056,0.6215,0.3785,0.2787,0.0442,0.0355,0.0277,0.003,
"22",766987,0,0.4011,0.5989,0,557229,0.4525,0.5475,0.263,0.1224,0.1487,0.0203,0.0015,
"23",766987,0,0.4698,0.5302,0,568074,0.3126,0.6874,0.6002,0.0462,0.0332,0.024,0.0028,
"24",766987,0,0.4095,0.5905,0,581738,0.6492,0.3508,0.1553,0.077,0.0932,0.0262,0.0044,
"25",766987,0,0.3265,0.6735,0,586313,0.6214,0.3786,0.1878,0.1234,0.0419,0.0306,0.0029,
"26",766987,0,0.3788,0.6212,0,569880,0.5999,0.4001,0.1702,0.0984,0.1057,0.0305,0.0021,
"27",766987,0,0.3868,0.6132,0,585427,0.4141,0.5859,0.4991,0.051,0.022,0.024,0.0017,
"28",766987,0,0.5634,0.4366,0,552637,0.1934,0.8066,0.7287,0.0566,0.0156,0.0218,0.0023,
"29",766987,0,0.7182,0.2818,0,547845,0.0995,0.9005,0.7243,0.1462,0.0305,0.0304,0.0015,
"30",766987,0,0.7883,0.2117,0,577974,0.2138,0.7862,0.3201,0.4191,0.0415,0.0258,0.0015,
"31",766987,0,0.3737,0.6263,0,574120,0.6295,0.3705,0.203,0.0895,0.054,0.0301,0.0048,
"32",766987,0,0.6546,0.3454,0,593970,0.3617,0.6383,0.3265,0.2026,0.0975,0.0274,0.0018,
"33",766987,0,0.7592,0.2408,0,555227,0.1585,0.8415,0.5446,0.2042,0.0875,0.0274,0.0017,
"34",766987,0,0.6268,0.3732,0,542730,0.0954,0.9046,0.885,0.0083,0.0094,0.0148,0.0007,
"35",766987,0,0.7288,0.2712,0,583808,0.2975,0.7025,0.5127,0.1388,0.046,0.0313,0.007,
"36",766987,0,0.3345,0.6655,0,578116,0.5296,0.4704,0.275,0.1286,0.0473,0.0263,0.0015,
"37",766987,0,0.758,0.242,0,622654,0.553,0.447,0.2513,0.0683,0.1121,0.0256,0.0023,
"38",766987,0,0.387,0.613,0,577591,0.5313,0.4687,0.2355,0.1054,0.1128,0.0243,0.0018,
"Summary",766987,0,0.4635,0.5365,0,575439,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
